,Compound_Name,Compound_ID,Molecular_Formula,canonical_smiles
76,24(R)-Pseudoginsenoside F11,71307449,C42H72O14,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CC4(C(CC(C5C4(CCC5C6(CCC(O6)C(C)(C)O)C)C)O)C7(C3C(C(CC7)O)(C)C)C)C)CO)O)O)O)O)O
77,Ginsenoside Ro,11815492,C48H76O19,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C2C1)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C
78,Pseudoginsenoside Rt1 butyl ester,52951890,C51H82O18,CCCCOC(=O)C1C(C(C(C(O1)OC2CCC3(C(C2(C)C)CCC4(C3CC=C5C4(CCC6(C5CC(CC6)(C)C)C(=O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C)OC8C(C(C(CO8)O)O)O)O)O
79,Spinasaponin A methyl ester,52944511,C43H68O14,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)OC)O)OC7C(C(C(C(O7)CO)O)O)O)O)C)C)C2C1)C)C(=O)O)C
80,Chikusetsusaponin Iva,13909684,C42H66O14,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)O)O)C)C)C2C1)C)C(=O)OC7C(C(C(C(O7)CO)O)O)O)C
81,Pseudoginsenoside Rt1,21633069,C47H74O18,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(CO7)O)O)O)C)C)C2C1)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C
82,Spinasaponin A 28-O-glucoside,52949435,C48H76O19,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)OC7C(C(C(C(O7)CO)O)O)O)O)C)C)C2C1)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C
83,Pseudoginsenoside Rt1 methyl ester,52952321,C48H76O18,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)OC)O)O)OC7C(C(C(CO7)O)O)O)C)C)C2C1)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C
84,Stipuleanoside R2,70698007,C53H84O23,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(O7)CO)O)O)OC8C(C(C(C(O8)CO)O)O)O)O)C)C)C2C1)C)C(=O)OC9C(C(C(C(O9)CO)O)O)O)C
85,Stipuleanoside R2 methyl ester,52945762,C54H86O23,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)OC)OC7C(C(C(O7)CO)O)O)OC8C(C(C(C(O8)CO)O)O)O)O)C)C)C2C1)C)C(=O)OC9C(C(C(C(O9)CO)O)O)O)C
86,Araloside A methyl ester,52942130,C48H76O18,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)OC)OC7C(C(C(O7)CO)O)O)O)O)C)C)C2C1)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C
87,Vinaginsenoside R14,85084513,C41H70O15,CC1(C(CCC2(C1C(CC3(C2CC(C4C3(CCC4C5(CCC(O5)C(C)(CO)O)C)C)O)C)OC6C(C(C(C(O6)CO)O)O)OC7C(C(C(CO7)O)O)O)C)O)C
88,Ginsenoside Rg4,102004835,C42H70O12,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CC4(C(CC(C5C4(CCC5C(=CCC=C(C)C)C)C)O)C6(C3C(C(CC6)O)(C)C)C)C)CO)O)O)O)O)O
89,Ginsenoside Rh3,20839223,C36H60O7,CC(=CCC=C(C)C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)O)C)C)O)C)C
90,Floralginsenoside C,16655212,C41H70O15,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O)C)CC(C6C3(CCC6C(C)(CC=CC(C)(C)OO)O)C)O)C)C
91,Floralginsenoside A,16655581,C42H72O16,CC1(C(CCC2(C1C(CC3(C2CC(C4C3(CCC4C(C)(CC=CC(C)(C)OO)OC5C(C(C(C(O5)CO)O)O)O)C)O)C)OC6C(C(C(C(O6)CO)O)O)O)C)O)C
92,Floranotoginsenoside B,163183855,C53H90O24,CC(=C)C(CCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)OC7C(C(C(C(O7)COC8C(C(C(CO8)O)O)O)O)O)O)OO
93,Floranotoginsenoside C,163183856,C53H90O24,CC(=C)C(CCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)OC7C(C(C(C(O7)COC8C(C(C(O8)CO)O)O)O)O)O)OO
94,Floralquinquenoside B,23652021,C42H72O15,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CC4(C(CC(C5C4(CCC5C(C)(CCC(C(=C)C)OO)O)C)O)C6(C3C(C(CC6)O)(C)C)C)C)CO)O)O)O)O)O
95,Floralquinquenoside D,23652174,C42H72O15,CC(=C)C(CCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)O)C)C)O)C)OC6C(C(C(C(O6)CO)O)O)O)OO
96,Notoginsenoside C,85194545,C54H92O25,CC(=C)C(CCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)OC7C(C(C(C(O7)COC8C(C(C(C(O8)CO)O)O)O)O)O)O)OO
97,Floralginsenoside H,101423536,C50H84O21,CC1(C(CCC2(C1C(CC3(C2CC(C4C3(CCC4C(C)(CC=CC(C)(C)OO)OC5C(C(C(C(O5)COC6C(C(C(O6)CO)O)O)O)O)O)C)O)C)O)C)OC7C(C(C(C(O7)CO)O)O)OC8C(C(C(C(O8)CO)O)O)O)C
98,Floralginsenoside J,101423537,C48H82O20,CC(=C)C(CCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)O)C)O)C)OC5C(C(C(C(O5)COC6C(C(C(CO6)O)O)O)O)O)O)OO
99,Ginsenoside Rs5,102021585,C44H72O13,CC(=CCCC(=C)C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)COC(=O)C)O)O)O)C)C)O)C)C
100,Notoginsenoside T5,102004610,C41H68O12,CC(=CCCC(=C)C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(CO6)O)O)O)C)O)C)C
101,Ginsenoside Rg6,91895489,C42H70O12,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CC4(C(CC(C5C4(CCC5C(=C)CCC=C(C)C)C)O)C6(C3C(C(CC6)O)(C)C)C)C)CO)O)O)O)O)O
102,Ginsenoside Rh4,21599928,C36H60O8,CC(=CCC=C(C)C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)O)C)O)C)C
103,Vinaginsenoside R10,85084513,C36H62O10,CC1(C(CCC2(C1C(CC3(C2CC(C4C3(CCC4C5(CCC(O5)C(C)(CO)O)C)C)O)C)OC6C(C(C(C(O6)CO)O)O)OC7C(C(C(CO7)O)O)O)C)O)C
104,Vinaginsenoside R11,85105824,C41H70O14,CC1(C(CCC2(C1C(CC3(C2CC(C4C3(CCC4C5(CCC(C(O5)(C)C)O)C)C)O)C)OC6C(C(C(C(O6)CO)O)O)OC7C(C(C(CO7)O)O)O)C)O)C
105,Notoginsenoside R10,131752529,C30H50O9,CC(=O)C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)O)C)O)C
106,Floranotoginsenoside D,163183857,C53H90O23,CC(=C)C(CCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)OC7C(C(C(C(O7)COC8C(C(C(O8)CO)O)O)O)O)O)O
107,Notopanaxoside A,102383753,C36H62O10,CC(=C)C(CCC(C)(C1CCC2(C1(C(CC3C2CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)O)O)C)C)O)O
108,Vinaginsenoside R12,131752935,C36H64O11,CC1(C(CCC2(C1C(CC3(C2CC(C4C3(CCC4C(C)(CCC(C(C)(C)O)O)O)C)O)C)OC5C(C(C(C(O5)CO)O)O)O)C)O)C
109,Vinaginsenoside R13,73092886,C48H84O20,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O)C)CC(C6C3(CCC6C(C)(CCC(C(C)(C)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)O)C)C
110,Floranotoginsenoside A,163183858,C53H90O23,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O)C)CC(C6C3(CCC6C(C)(CC=CC(C)(C)O)OC7C(C(C(C(O7)COC8C(C(C(O8)CO)O)O)O)O)O)C)O)C)C
111,Notoginsenoside ST-5,101867507,C47H80O18,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(CO6)O)O)O)C)CC(C7C3(CCC7C(C)(CC=CC(C)(C)O)O)C)O)C)C
112,Notoginsenoside A,6451129,C54H92024,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O)C)CC(C6C3(CCC6C(C)(CC=CC(C)(C)O)OC7C(C(C(C(O7)COC8C(C(C(C(O8)CO)O)O)O)O)O)O)C)O)C)C
113,Majoroside F4,13992218,C42H72O14,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)CO)O)O)O)C)CC(C5C3(CCC5C(C)(CC=CC(C)(C)O)OC6C(C(C(C(O6)CO)O)O)O)C)O)C)C
114,Majoroside F6,6439208,C48H82O19,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CC4C(CC(C5C4(CCC5C(C)(CC=CC(C)(C)O)OC6C(C(C(C(O6)CO)O)O)O)C)O)C7(C3C(C(CC7)O)(C)C)C)CO)O)O)O)O)O
115,Vinaginsenoside R8,131752674,C48H82O19,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O)C)CC(C6C3(CCC6C(C)(CC=CC(C)(C)O)OC7C(C(C(C(O7)CO)O)O)O)C)O)C)C
116,Notoginsenoside H,101704412,C47H80O19,CC1(C(CCC2(C1C(CC3(C2CC(C4C3(CCC4C(C)(CC=CC(C)(C)O)OC5C(C(C(C(O5)CO)O)O)O)C)O)C)OC6C(C(C(C(O6)CO)O)O)OC7C(C(C(CO7)O)O)O)C)O)C
117,Floralginsenoside B,101423532,C42H72O16,CC(=O)OCC1C(C(C(C(O1)OC2C(C(C(OC2OC3CCC4(C(C3(C)C)CCC5(C4CC(C6C5(CCC6C(C)(CC=CC(C)(C)OO)OC7C(C(C(C(O7)CO)O)O)O)C)O)C)C)CO)O)O)O)O)O
118,Floralginsenoside D,16655213,C41H70O15,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)CO)O)O)O)C)CC(C5C3(CCC5C(C)(CC=CC(C)(C)OO)OC6C(C(C(C(O6)CO)O)O)O)C)O)C)C
119,Floralginsenoside E,101423533,C42H72O15,CC1(C(CCC2(C1C(CC3(C2CC(C4C3(CCC4C(C)(CC=CC(C)(C)OO)OC5C(C(C(C(O5)COC6C(C(C(O6)CO)O)O)O)O)O)C)O)C)O)C)O)C
120,Majoroside F5,6439207,C48H82O19,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CC4C(CC(C5C4(CCC5C(C)(C=CC(C(C)C)O)OC6C(C(C(C(O6)CO)O)O)O)C)O)C7(C3C(C(CC7)O)(C)C)C)CO)O)O)O)O)O
121,Bipinnatifidusoside F2,6439209,C48H82O20,CC(C)C(C=CC(C)(C1CCC2(C1C(CC3C2CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)O)C)OC7C(C(C(C(O7)CO)O)O)O)O
122,Ginsenoside Km,102294900,C36H62O10,CC(=CCCC(C)(COC1C(C(C(C(O1)CO)O)O)O)C2CCC3(C2C(CC4C3(CC(C5C4(CCC(C5(C)C)O)C)O)C)O)C)CO
123,Quinquenoside L2,131751593,C48H82O19,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)OC7C(C(C(C(O7)CO)O)O)O)CO
124,Ginsenoside Ki,102294899,C36H62O10,CC(=CCCC(C)(COC1C(C(C(C(O1)CO)O)O)O)C2CCC3(C2C(CC4C3(CC(C5C4(CCC(C5(C)C)O)C)O)C)O)C)CO
125,Vinaginsenoside R24,131751593,C48H82O19,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)OC7C(C(C(C(O7)CO)O)O)O)CO
126,Floralquinquenoside A,23652020,C36H62O11,CC1(C(CCC2(C1C(CC3(C2CC(C4C3(CCC4C(C)(CC=CC(C)(C)OO)O)C)O)C)OC5C(C(C(C(O5)CO)O)O)O)C)O)C
127,Floralquinquenoside C,23652173,C42H72O15,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CC4(C(CC(C5C4(CCC5C(C)(CC=CC(C)(C)OO)O)C)O)C6(C3C(C(CC6)O)(C)C)C)C)CO)O)O)O)O)O
128,Floralginsenoside F,101423534,C42H72O15,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CC4(C(CC(C5C4(CCC5C(C)(CC=CC(C)(C)OO)OC6C(C(C(C(O6)CO)O)O)O)C)O)C7(C3C(C(CC7)O)(C)C)C)C)CO)O)O)O)O)O
129,Notoginsenoside E,131751046,C48H82O20,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O)C)CC(C6C3(CCC6C(C)(CC=CC(C)(C)OO)OC7C(C(C(C(O7)CO)O)O)O)C)O)C)C
130,Ginsenoside Rh6,131752646,C36H62O11,CC1(C(CCC2(C1C(CC3(C2CC(C4C3(CCC4C(C)(CC=CC(C)(C)OO)OC5C(C(C(C(O5)CO)O)O)O)C)O)C)O)C)O)C
131,Floralginsenoside O,101423542,C53H90O24,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CC4(C(CC(C5C4(CCC5C(C)(CCC=C(C)C)OC6C(C(C(C(O6)COC7C(C(C(CO7)O)O)O)O)O)O)C)O)C8(C3C(C(CC8)O)(C)C)C)C)CO)O)O)O)O)O
132,Floralginsenoside G,101423535,C50H84O21,CC1(C(CCC2(C1C(CC3(C2CC(C4C3(CCC4C(C)(CC=CC(C)(C)OO)OC5C(C(C(C(O5)CO)O)O)O)C)O)C)O)C)OC6C(C(C(C(O6)CO)O)O)OC7C(C(C(C(O7)CO)O)O)O)C
133,Floralginsenoside I,16655580,C48H82O20,CC(=C)C(CCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)O)C)O)C)OC6C(C(C(C(O6)CO)O)O)O)OO
134,Floralginsenoside K,101423538,C48H82O21,CC(=C)C(CCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)COC(=O)C)O)O)O)C)C)O)C)OC7C(C(C(C(O7)CO)O)O)O)OO
135,Isoginsenoside-Rh3,122196267,C36H60O7,CC(=CCC=C(C)C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)O)C)C)O)C)C
136,Ginsenoside Rg5,11550001,C42H70O12,CC(=CCC=C(C)C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)C
137,(20E)-Ginsenoside F4,102004835,C42H70O12,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CC4(C(CC(C5C4(CCC5C(=CCC=C(C)C)C)C)O)C6(C3C(C(CC6)O)(C)C)C)C)CO)O)O)O)O)O
138,Notoginsenoside T1,131752527,C36H60O10,CC(=CC(C1C(O1)(C)C)O)C2CCC3(C2C(CC4C3(CC(C5C4(CCC(C5(C)C)O)C)OC6C(C(C(C(O6)CO)O)O)O)C)O)C
139,Notoginsenoside T2,131752528,C37H62O10,CC(=CC(C1C(O1)(C)C)OC)C2CCC3(C2C(CC4C3(CC(C5C4(CCC(C5(C)C)O)C)OC6C(C(C(C(O6)CO)O)O)O)C)O)C
140,Notoginsenoside ST-1,101867504,C36H62O10,CC(=CCC(C(C)(C)O)O)C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)O)C)O)C
141,Notoginsenoside ST-2,101867505,C43H74O15,CC(=CC(C(C(C)(C)O)O)OC)C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C
142,Notoginsenoside ST-3,101867506,C43H74O15,CC(=CC(C(C(C)(C)O)O)OC)C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C
143,Floralginsenoside Ta,46224641,C36H60O10,CC(=C)C(=O)CCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)O)C)O)C)OC5C(C(C(C(O5)CO)O)O)O
144,Vinaginsenoside R20,131751552,C48H80O19,CC(=C)C(=O)CCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)OC7C(C(C(C(O7)CO)O)O)O
145,Ginsenoside III,131751552,C48H80O19,CC(=C)C(=O)CCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)OC7C(C(C(C(O7)CO)O)O)O
146,Notoginsenoside B,101704407,C54H90O24,CC(=C)C(=O)CCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)OC7C(C(C(C(O7)COC8C(C(C(C(O8)CO)O)O)O)O)O)O
147,Quinquenoside L1,131751287,C48H80O18,CC(=C)C=CCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)OC7C(C(C(C(O7)CO)O)O)O
148,Ginsenoside La,130009,C42H70O13,CC(=CC1CC(C2CCC3(C2C(O1)CC4C3CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)CO)O)O)O)C)C)(C)OC7C(C(C(C(O7)CO)O)O)O)C
149,Floralginsenoside Tb,46224642,C35H62O11,CC1(C(CCC2(C1C(CC3(C2CC(C4C3(CCC4C(C)(CCC(OC)OC)OC5C(C(C(C(O5)CO)O)O)O)C)O)C)O)C)O)C
150,Ginsenoside Rh8,85245726,C36H60O9,CC(=CCCC(C)(C1CCC2(C1C(=O)CC3C2(CC(C4C3(CCC(C4(C)C)O)C)O)C)C)OC5C(C(C(C(O5)CO)O)O)O)C
151,"5,6-Didehydroginsenoside Rd",131846303,C48H80O18,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC=C4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)OC7C(C(C(C(O7)CO)O)O)O)C
152,Ginsenoside Rh7,101096472,C36H60O9,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(C(C=C4C3(CCC(C4(C)C)O)C)O)C)O)C)OC5C(C(C(C(O5)CO)O)O)O)C
153,Yesanchinoside G,101201457,C53H88O23,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(C(C=C4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)O)C)O)C)OC7C(C(C(C(O7)COC8C(C(C(CO8)O)O)O)O)O)O)C
154,Notoginsenoside G,10350931,C48H80O19,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(C(C=C4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)O)C)O)C)OC7C(C(C(C(O7)CO)O)O)O)C
155,Quinquenoside IV,85255130,C54H90O24,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(C(C=C4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)O)C)O)C)OC7C(C(C(C(O7)COC8C(C(C(C(O8)CO)O)O)O)O)O)O)C
156,Vinaginsenoside R3,92043620,C48H82O17,CC(=CCCC(C)(C1CCC2(C1CCC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)C)OC7C(C(C(C(O7)CO)O)O)O)C
157,Yesanchinoside I,101201459,C59H100O26,CC(=CCCC(C)(C1CCC2(C1CCC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)C)OC7C(C(C(C(O7)COC8C(C(C(C(O8)COC9C(C(C(CO9)O)O)O)O)O)O)O)O)O)C
158,Notoginsenoside I,101704413,C54H92O22,CC(=CCCC(C)(C1CCC2(C1CCC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)C)OC7C(C(C(C(O7)COC8C(C(C(C(O8)CO)O)O)O)O)O)O)C
